title,price,my,make,model,body_type,battery,kw,range_km,odo
2021 Audi e-tron 55 Auto quattro MY22,176300,2021,Audi,e-tron,SUV,AC265kW,265,463,0
2021 Porsche Taycan Y1A Auto RWD MY22,175980,2021,Porsche,Taycan,Sedan,AC240kW,240,369,0
2021 Audi e-tron 55 Auto quattro MY21,175631,2021,Audi,e-tron,SUV,AC265kW,265,463,0
2021 Audi e-tron 55 Auto quattro MY21,175631,2021,Audi,e-tron,SUV,AC265kW,265,463,0
2021 Audi e-tron 55 Auto quattro MY21,175631,2021,Audi,e-tron,SUV,AC265kW,265,463,0
2021 Audi e-tron 55 Auto quattro MY21,175631,2021,Audi,e-tron,SUV,AC265kW,265,463,0
2021 Audi e-tron 55 Auto quattro MY21,175631,2021,Audi,e-tron,SUV,AC265kW,265,463,0
2021 Audi e-tron 55 Auto quattro MY21,175631,2021,Audi,e-tron,SUV,AC265kW,265,463,0
2021 Audi e-tron 55 Auto quattro MY22,173850,2021,Audi,e-tron,SUV,AC265kW,265,463,0
2019 Jaguar I-PACE EV400 HSE Auto AWD MY20,173446,2019,Jaguar,I-PACE,SUV,294kW,294,270,0
2021 Audi e-tron 55 Auto quattro MY21,173182,2021,Audi,e-tron,SUV,AC265kW,265,463,0
2019 Jaguar I-PACE EV400 HSE Auto AWD MY20,172627,2019,Jaguar,I-PACE,SUV,294kW,294,270,0
2020 Audi e-tron 50 Auto quattro MY21,168100,2020,Audi,e-tron,SUV,AC230kW,230,341,0
2021 Jaguar I-PACE EV400 HSE Auto AWD MY22,167606,2021,Jaguar,I-PACE,SUV,294kW,294,270,0
2021 Audi e-tron 50 Auto quattro MY22,166715,2021,Audi,e-tron,SUV,AC230kW,230,341,0
2021 Audi e-tron 50 Auto quattro MY22,166715,2021,Audi,e-tron,SUV,AC230kW,230,341,0
2021 Audi e-tron 50 Auto quattro MY22,166715,2021,Audi,e-tron,SUV,AC230kW,230,341,0
2021 Audi e-tron 50 Auto quattro MY22,166715,2021,Audi,e-tron,SUV,AC230kW,230,341,0
2021 Audi e-tron 50 Auto quattro MY22,166715,2021,Audi,e-tron,SUV,AC230kW,230,341,0
2021 Audi e-tron 50 Auto quattro MY21,166046,2021,Audi,e-tron,SUV,AC230kW,230,341,0
2021 Audi e-tron 50 Auto quattro MY21,166046,2021,Audi,e-tron,SUV,AC230kW,230,341,0
2021 Audi e-tron 50 Auto quattro MY21,166046,2021,Audi,e-tron,SUV,AC230kW,230,341,0
2021 Audi e-tron 50 Auto quattro MY21,166046,2021,Audi,e-tron,SUV,AC230kW,230,341,0
2021 Audi e-tron 50 Auto quattro MY21,166046,2021,Audi,e-tron,SUV,AC230kW,230,341,0
2021 Audi e-tron 50 Auto quattro MY21,166046,2021,Audi,e-tron,SUV,AC230kW,230,341,0
2021 Audi e-tron 55 Auto quattro MY22,164584,2021,Audi,e-tron,SUV,AC265kW,265,452,0
2021 Audi e-tron 55 Auto quattro MY22,164584,2021,Audi,e-tron,SUV,AC265kW,265,452,0
2021 Audi e-tron 55 Auto quattro MY22,164584,2021,Audi,e-tron,SUV,AC265kW,265,452,0
2021 Audi e-tron 55 Auto quattro MY22,164584,2021,Audi,e-tron,SUV,AC265kW,265,452,0
2021 Audi e-tron 55 Auto quattro MY22,164584,2021,Audi,e-tron,SUV,AC265kW,265,452,0
2021 Audi e-tron 55 Auto quattro MY22,164584,2021,Audi,e-tron,SUV,AC265kW,265,452,0
2021 Audi e-tron 55 Auto quattro MY22,164584,2021,Audi,e-tron,SUV,AC265kW,265,452,0
2021 Audi e-tron 50 Auto quattro MY22,164266,2021,Audi,e-tron,SUV,AC230kW,230,341,0
2021 Audi e-tron 55 Auto quattro MY21,163916,2021,Audi,e-tron,SUV,AC265kW,265,452,0
2021 Audi e-tron 55 Auto quattro MY21,163916,2021,Audi,e-tron,SUV,AC265kW,265,452,0
2021 Audi e-tron 55 Auto quattro MY21,163916,2021,Audi,e-tron,SUV,AC265kW,265,452,0
2021 Audi e-tron 55 Auto quattro MY21,163916,2021,Audi,e-tron,SUV,AC265kW,265,452,0
